id,path,predict,chosen_model,conf_m1,conf_m2,conf_m3
xau-bao_1618733642287,audio_data/private_test/xau-bao_1618733642287.wav,xấu bảo,model1_wav2vec2_vi,-0.0101,-2.9936,
tau-dien_1618736691074,audio_data/private_test/tau-dien_1618736691074.wav,tàu diễn,model1_wav2vec2_vi,-0.0063,-3.0012,
tau-dien_1618736705698,audio_data/private_test/tau-dien_1618736705698.wav,táo diễn,model1_wav2vec2_vi,-0.0351,-2.9789,
tau-dien_1618736715606,audio_data/private_test/tau-dien_1618736715606.wav,táo diễn,model1_wav2vec2_vi,-0.0329,-3.0048,
tau-dien_1618736727947,audio_data/private_test/tau-dien_1618736727947.wav,tậu diên,model1_wav2vec2_vi,-0.0299,-2.9899,
tau-dien_1618736734221,audio_data/private_test/tau-dien_1618736734221.wav,tạu diễn,model1_wav2vec2_vi,-0.0265,-2.9822,
tau-dien_1618736740309,audio_data/private_test/tau-dien_1618736740309.wav,tau diễn,model1_wav2vec2_vi,-0.0123,-2.9953,
tren-tau_1618736748014,audio_data/private_test/tren-tau_1618736748014.wav,trên tàu,model1_wav2vec2_vi,-0.0017,-3.0026,
tren-tau_1618736756822,audio_data/private_test/tren-tau_1618736756822.wav,trên táu,model1_wav2vec2_vi,-0.031,-2.9462,
tren-tau_1618736780341,audio_data/private_test/tren-tau_1618736780341.wav,trên tàu,model1_wav2vec2_vi,-0.0131,-2.9852,
tren-tau_1618736790124,audio_data/private_test/tren-tau_1618736790124.wav,trên táu,model1_wav2vec2_vi,-0.0138,-2.9955,
tren-tau_1618736799013,audio_data/private_test/tren-tau_1618736799013.wav,trên tạu,model1_wav2vec2_vi,-0.0334,-2.9472,
tren-tau_1618736805231,audio_data/private_test/tren-tau_1618736805231.wav,trên tau,model1_wav2vec2_vi,-0.0023,-2.9787,
thuan-chay_1618737018318,audio_data/private_test/thuan-chay_1618737018318.wav,thuận chảy,model1_wav2vec2_vi,-0.0242,-3.0082,
thuan-chay_1618737025531,audio_data/private_test/thuan-chay_1618737025531.wav,thuận chãy,model1_wav2vec2_vi,-0.0283,-2.9766,
thuan-chay_1618737032579,audio_data/private_test/thuan-chay_1618737032579.wav,thuận chảy,model1_wav2vec2_vi,-0.0206,-3.0122,
thuan-chay_1618737040515,audio_data/private_test/thuan-chay_1618737040515.wav,thuận cháy,model1_wav2vec2_vi,-0.0115,-2.9886,
thuan-chay_1618737046675,audio_data/private_test/thuan-chay_1618737046675.wav,thuận chạy,model1_wav2vec2_vi,-0.0247,-3.016,
thuan-chay_1618737052694,audio_data/private_test/thuan-chay_1618737052694.wav,thuận chay,model1_wav2vec2_vi,-0.0189,-3.0104,
san-khe_1618737233663,audio_data/private_test/san-khe_1618737233663.wav,sạn khe,model1_wav2vec2_vi,-0.0136,-2.9946,
san-khe_1618737240952,audio_data/private_test/san-khe_1618737240952.wav,trạn khẽ,model1_wav2vec2_vi,-0.0172,-2.9727,
san-khe_1618737247893,audio_data/private_test/san-khe_1618737247893.wav,sạn khẻe,model1_wav2vec2_vi,-0.0151,-2.9746,
san-khe_1618737255349,audio_data/private_test/san-khe_1618737255349.wav,sạn khé,model1_wav2vec2_vi,-0.0167,-2.9637,
san-khe_1618737262309,audio_data/private_test/san-khe_1618737262309.wav,sản khẻ,model1_wav2vec2_vi,-0.0227,-2.9689,
san-khe_1618737268682,audio_data/private_test/san-khe_1618737268682.wav,trạn khe,model1_wav2vec2_vi,-0.0259,-2.9937,
sen-ke_1618737285051,audio_data/private_test/sen-ke_1618737285051.wav,tan kể,model1_wav2vec2_vi,-0.0547,-2.9974,
sen-ke_1618737291324,audio_data/private_test/sen-ke_1618737291324.wav,san kể,model1_wav2vec2_vi,-0.0245,-2.9711,
sen-ke_1618737298450,audio_data/private_test/sen-ke_1618737298450.wav,chèn kể,model1_wav2vec2_vi,-0.0314,-2.9647,
sen-ke_1618737305133,audio_data/private_test/sen-ke_1618737305133.wav,chán kể,model1_wav2vec2_vi,-0.0204,-2.9977,
sen-ke_1618737311945,audio_data/private_test/sen-ke_1618737311945.wav,thẹn kể,model1_wav2vec2_vi,-0.0387,-2.9642,
sen-ke_1618737317884,audio_data/private_test/sen-ke_1618737317884.wav,cen kể,model1_wav2vec2_vi,-0.0434,-2.9909,
chen-suot_1618737329900,audio_data/private_test/chen-suot_1618737329900.wav,trèn suốt,model1_wav2vec2_vi,-0.0304,-3.0104,
chen-suot_1618737336530,audio_data/private_test/chen-suot_1618737336530.wav,tháng suốt,model1_wav2vec2_vi,-0.0583,-2.9976,
chen-suot_1618737342495,audio_data/private_test/chen-suot_1618737342495.wav,trản suất,model1_wav2vec2_vi,-0.0435,-2.9943,
chen-suot_1618737348799,audio_data/private_test/chen-suot_1618737348799.wav,chén suướt,model1_wav2vec2_vi,-0.0515,-2.9666,
chen-suot_1618737368800,audio_data/private_test/chen-suot_1618737368800.wav,trạn suốt,model1_wav2vec2_vi,-0.0639,-2.9659,
chen-suot_1618737376065,audio_data/private_test/chen-suot_1618737376065.wav,chen suốt,model1_wav2vec2_vi,-0.0364,-2.9892,
tre-tam_1618737385256,audio_data/private_test/tre-tam_1618737385256.wav,trẻ tạn,model1_wav2vec2_vi,-0.0313,-2.9816,
tre-tam_1618737390957,audio_data/private_test/tre-tam_1618737390957.wav,chẻ em tạ,model1_wav2vec2_vi,-0.0683,-2.9943,
tre-tam_1618737397484,audio_data/private_test/tre-tam_1618737397484.wav,trẻ tạn,model1_wav2vec2_vi,-0.0224,-2.9882,
tre-tam_1618737422344,audio_data/private_test/tre-tam_1618737422344.wav,tré tạn,model1_wav2vec2_vi,-0.0358,-2.9873,
tre-tam_1618737439444,audio_data/private_test/tre-tam_1618737439444.wav,trẻ tạn,model1_wav2vec2_vi,-0.0315,-2.9748,
tre-tam_1618737449484,audio_data/private_test/tre-tam_1618737449484.wav,trè tạ,model1_wav2vec2_vi,-0.0407,-2.9653,
ke-thuoc_1618737460511,audio_data/private_test/ke-thuoc_1618737460511.wav,kè thuộc,model1_wav2vec2_vi,-0.0081,-2.9739,
ke-thuoc_1618737466677,audio_data/private_test/ke-thuoc_1618737466677.wav,kẽ thuộc,model1_wav2vec2_vi,-0.0154,-2.9611,
ke-thuoc_1618737475487,audio_data/private_test/ke-thuoc_1618737475487.wav,kẻ thuộc,model1_wav2vec2_vi,-0.0054,-2.9651,
ke-thuoc_1618737482256,audio_data/private_test/ke-thuoc_1618737482256.wav,ké thuộc,model1_wav2vec2_vi,-0.0261,-2.9398,
ke-thuoc_1618737488021,audio_data/private_test/ke-thuoc_1618737488021.wav,kẹ thuộc,model1_wav2vec2_vi,-0.0127,-2.9638,
ke-thuoc_1618737493923,audio_data/private_test/ke-thuoc_1618737493923.wav,ke thuộc,model1_wav2vec2_vi,-0.0202,-2.9763,
gai-treo_1618737512943,audio_data/private_test/gai-treo_1618737512943.wav,gái thèo,model1_wav2vec2_vi,-0.0285,-2.9869,
gai-treo_1618737521919,audio_data/private_test/gai-treo_1618737521919.wav,gái trẽo,model1_wav2vec2_vi,-0.0161,-2.9685,
gai-treo_1618737527566,audio_data/private_test/gai-treo_1618737527566.wav,gái trẻ,model1_wav2vec2_vi,-0.0164,-2.9893,
gai-treo_1618737542096,audio_data/private_test/gai-treo_1618737542096.wav,gái chéo,model1_wav2vec2_vi,-0.0156,-2.9746,
gai-treo_1618737547747,audio_data/private_test/gai-treo_1618737547747.wav,gái trẹ,model1_wav2vec2_vi,-0.0291,-2.9833,
gai-treo_1618737554641,audio_data/private_test/gai-treo_1618737554641.wav,gái treo,model1_wav2vec2_vi,-0.056,-2.9858,
thuan-theo_1618737639704,audio_data/private_test/thuan-theo_1618737639704.wav,thuận thẻo,model1_wav2vec2_vi,-0.0182,-2.9643,
thuan-theo_1618737650373,audio_data/private_test/thuan-theo_1618737650373.wav,thuận thẻo,model1_wav2vec2_vi,-0.02,-2.9897,
thuan-theo_1618737656618,audio_data/private_test/thuan-theo_1618737656618.wav,thuận thẻo,model1_wav2vec2_vi,-0.0243,-2.9729,
thuan-theo_1618737662662,audio_data/private_test/thuan-theo_1618737662662.wav,thuận théo,model1_wav2vec2_vi,-0.0144,-2.9679,
thuan-theo_1618737671655,audio_data/private_test/thuan-theo_1618737671655.wav,thuận thẹo,model1_wav2vec2_vi,-0.0095,-2.9568,
thuan-theo_1618737677367,audio_data/private_test/thuan-theo_1618737677367.wav,thuận theo,model1_wav2vec2_vi,-0.0198,-2.9812,
theo-truong_1618737722535,audio_data/private_test/theo-truong_1618737722535.wav,theo trưởng,model1_wav2vec2_vi,-0.0384,-2.9828,
theo-truong_1618737729499,audio_data/private_test/theo-truong_1618737729499.wav,théo trưởng,model1_wav2vec2_vi,-0.0283,-2.9459,
theo-truong_1618737736453,audio_data/private_test/theo-truong_1618737736453.wav,thẻo trửa,model1_wav2vec2_vi,-0.0672,-2.939,
theo-truong_1618737743543,audio_data/private_test/theo-truong_1618737743543.wav,théo trưởng,model1_wav2vec2_vi,-0.0248,-2.9588,
theo-truong_1618737750322,audio_data/private_test/theo-truong_1618737750322.wav,theo trưởng,model1_wav2vec2_vi,-0.0288,-2.9592,
theo-truong_1618737757787,audio_data/private_test/theo-truong_1618737757787.wav,theo trưởng,model1_wav2vec2_vi,-0.0154,-2.9666,
tin-an_1618737860487,audio_data/private_test/tin-an_1618737860487.wav,tìn ẩn,model1_wav2vec2_vi,-0.0674,-3.0045,
tin-an_1618737869638,audio_data/private_test/tin-an_1618737869638.wav,tiến ạnh,model1_wav2vec2_vi,-0.0429,-3.0,
tin-an_1618737875796,audio_data/private_test/tin-an_1618737875796.wav,tìn hần,model1_wav2vec2_vi,-0.0662,-3.017,
tin-an_1618737881870,audio_data/private_test/tin-an_1618737881870.wav,tín ẩn,model1_wav2vec2_vi,-0.0361,-3.0293,
tin-an_1618737888591,audio_data/private_test/tin-an_1618737888591.wav,tiìn hành,model1_wav2vec2_vi,-0.0469,-2.9629,
tin-an_1618737894682,audio_data/private_test/tin-an_1618737894682.wav,tin ẩn,model1_wav2vec2_vi,-0.0188,-2.9794,
chia-dao_1618737930048,audio_data/private_test/chia-dao_1618737930048.wav,chì gao,model1_wav2vec2_vi,-0.0464,-2.9854,
chia-dao_1618737936162,audio_data/private_test/chia-dao_1618737936162.wav,chĩa dao,model1_wav2vec2_vi,-0.0211,-3.0213,
chia-dao_1618737941913,audio_data/private_test/chia-dao_1618737941913.wav,chỉ ra,model1_wav2vec2_vi,-0.0495,-2.9803,
chia-dao_1618737948018,audio_data/private_test/chia-dao_1618737948018.wav,chị dao,model1_wav2vec2_vi,-0.0585,-3.0107,
chia-dao_1618737954168,audio_data/private_test/chia-dao_1618737954168.wav,chịa rao,model1_wav2vec2_vi,-0.0502,-3.0118,
chia-dao_1618737961059,audio_data/private_test/chia-dao_1618737961059.wav,chia ra,model1_wav2vec2_vi,-0.0277,-3.0164,
bia-dat_1618738009641,audio_data/private_test/bia-dat_1618738009641.wav,bìa đặt,model1_wav2vec2_vi,-0.0326,-2.9802,
bia-dat_1618738024704,audio_data/private_test/bia-dat_1618738024704.wav,bĩa đặt,model1_wav2vec2_vi,-0.0259,-2.9908,
bia-dat_1618738031306,audio_data/private_test/bia-dat_1618738031306.wav,đỉa đặt,model1_wav2vec2_vi,-0.0343,-2.9707,
bia-dat_1618738038209,audio_data/private_test/bia-dat_1618738038209.wav,bỉa đặt,model1_wav2vec2_vi,-0.0339,-2.9685,
lieu-ma_1618731458378,audio_data/private_test/lieu-ma_1618731458378.wav,diô mà,model1_wav2vec2_vi,-0.0344,-3.0147,
lieu-ma_1618731476280,audio_data/private_test/lieu-ma_1618731476280.wav,liêu mã,model1_wav2vec2_vi,-0.0093,-2.9798,
lieu-ma_1618731504764,audio_data/private_test/lieu-ma_1618731504764.wav,vêu mạ,model1_wav2vec2_vi,-0.0447,-2.9719,
lieu-ma_1618731518740,audio_data/private_test/lieu-ma_1618731518740.wav,liêu má,model1_wav2vec2_vi,-0.0187,-2.9976,
lieu-ma_1618731531318,audio_data/private_test/lieu-ma_1618731531318.wav,liêu mạn,model1_wav2vec2_vi,-0.0254,-3.0108,
lieu-ma_1618731566884,audio_data/private_test/lieu-ma_1618731566884.wav,liô ma,model1_wav2vec2_vi,-0.0375,-2.975,
dat-cang_1618732722025,audio_data/private_test/dat-cang_1618732722025.wav,đất càng,model1_wav2vec2_vi,-0.0223,-2.983,
dat-cang_1618732730587,audio_data/private_test/dat-cang_1618732730587.wav,đất cãng,model1_wav2vec2_vi,-0.0282,-2.9622,
dat-cang_1618732740714,audio_data/private_test/dat-cang_1618732740714.wav,đất cản,model1_wav2vec2_vi,-0.0174,-2.9888,
dat-cang_1618732752123,audio_data/private_test/dat-cang_1618732752123.wav,đất cán,model1_wav2vec2_vi,-0.0143,-2.9843,
dat-cang_1618732759896,audio_data/private_test/dat-cang_1618732759896.wav,đất cạn,model1_wav2vec2_vi,-0.0232,-3.0144,
dat-cang_1618732767219,audio_data/private_test/dat-cang_1618732767219.wav,đích cang,model1_wav2vec2_vi,-0.0295,-2.9984,
loi-lai_1618732779139,audio_data/private_test/loi-lai_1618732779139.wav,lỗi lài,model1_wav2vec2_vi,-0.0073,-2.997,
loi-lai_1618732787549,audio_data/private_test/loi-lai_1618732787549.wav,lỗi lãi,model1_wav2vec2_vi,-0.0138,-2.9873,
loi-lai_1618732801240,audio_data/private_test/loi-lai_1618732801240.wav,nối lại,model1_wav2vec2_vi,-0.0054,-2.9997,
loi-lai_1618732824477,audio_data/private_test/loi-lai_1618732824477.wav,lỗi lái,model1_wav2vec2_vi,-0.011,-3.0124,
loi-lai_1618732832728,audio_data/private_test/loi-lai_1618732832728.wav,lỗi i lại,model1_wav2vec2_vi,-0.0226,-3.0062,
